Unique.Specimen.Identifier;Family1;Order1;Sequence;Specimen.number;Source;Sex;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-wing.Index;Tail.Length;Sample.Number;Measurer;Avonet.Protocol.Used;Protocol.both.pairs;Protocol.neither.pair
Abroscopus schisticeps_86.4.1.3320;Scotocercidae;PASSERIFORMES;8021;86.4.1.3320;NHMUK;M;8,8;4,5;2,7;2,5;16,8;48;8,4;39,6;17,5;48;2;CS;1;0;0
Abroscopus schisticeps_86.4.1.3320;Scotocercidae;PASSERIFORMES;8021;86.4.1.3320;NHMUK;M;9,1;NA;2,5;2;17,1;51;NA;NA;NA;45;1;GT;0;0;0
Acanthagenys rufogularis_1965.43.1168;Meliphagidae;PASSERIFORMES;6128;1965.43.1168;NHMUK;M;28,7;NA;4,2;5,8;25,7;115;NA;NA;NA;115;1;GT;0;0;0
Acanthagenys rufogularis_1965.43.1168;Meliphagidae;PASSERIFORMES;6128;1965.43.1168;NHMUK;M;26,5;12,5;3,8;5,2;25,3;115;25,9;89,1;22,5;114;2;NS;1;0;0
Acanthidops bairdi_1899.2.1.846;Thraupidae;PASSERIFORMES;11013;1899.2.1.846;NHMUK;M;14,3;NA;4;5,7;21;65;NA;NA;NA;63;2;GT;0;0;0
Acanthidops bairdi_1899.2.1.846;Thraupidae;PASSERIFORMES;11013;1899.2.1.846;NHMUK;M;15;10,3;3,4;5,4;20,5;67;10,2;56,8;15,2;54;1;HM;1;0;0
Acanthisitta chloris_1908.3.30.1;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.1;NHMUK;F;12,3;6,1;2,7;2,4;18,4;44;7;37;15,9;24;2;CS;1;0;0
Acanthisitta chloris_1908.3.30.1;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.1;NHMUK;F;14,1;NA;1,7;1,9;18,9;48;NA;NA;NA;26;1;GT;0;0;0
Acanthisitta chloris_1908.3.30.3;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.3;NHMUK;M;11,4;6,8;2,8;2,4;19,7;44;6,4;37,6;14,5;22;2;CS;1;0;0
Acanthisitta chloris_1908.3.30.3;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.3;NHMUK;M;12,6;NA;2;1,8;18,6;47;NA;NA;NA;25;1;GT;0;0;0
Acanthiza apicalis_822912;Acanthizidae;PASSERIFORMES;6222;822912;AMNH;F;11,4;NA;2,4;2,4;NA;43;NA;NA;NA;40;1;BM;0;0;1
Acanthiza apicalis_822912;Acanthizidae;PASSERIFORMES;6222;822912;AMNH;F;11,8;NA;2,2;2,6;17,6;48,5;NA;NA;NA;40;2;VR;0;0;1
Acanthiza apicalis_822915;Acanthizidae;PASSERIFORMES;6222;822915;AMNH;F;11,4;NA;2,2;2,5;NA;52;NA;NA;NA;46;1;BM;0;0;1
Acanthiza apicalis_822915;Acanthizidae;PASSERIFORMES;6222;822915;AMNH;F;11,3;NA;2,2;2,5;18,8;52;NA;NA;NA;47;2;VR;0;0;1
Acanthiza apicalis_822915;Acanthizidae;PASSERIFORMES;6222;822915;AMNH;F;11,3;NA;2,1;2,5;19,5;52;NA;NA;NA;47;3;VR;0;0;1
Acanthiza chrysorrhoa_1964.17.303;Acanthizidae;PASSERIFORMES;6218;1964.17.303;NHMUK;M;12,6;6,5;2,4;2,8;18,2;58;9,7;48,3;16,7;41;2;CS;1;0;0
Acanthiza chrysorrhoa_1964.17.303;Acanthizidae;PASSERIFORMES;6218;1964.17.303;NHMUK;M;11,8;NA;2,2;2,3;16,9;60;NA;NA;NA;42;1;GT;0;0;0
Acanthiza cinerea_1911.12.22.156;Acanthizidae;PASSERIFORMES;6217;1911.12.22.156;NHMUK;M;10,9;5,5;2,8;2,9;18,8;52;9,8;42,2;18,8;39;2;CS;1;0;0
Acanthiza cinerea_1911.12.22.156;Acanthizidae;PASSERIFORMES;6217;1911.12.22.156;NHMUK;M;10,9;NA;2,5;2,4;16,8;54;NA;NA;NA;38;1;GT;0;0;0
Acanthiza ewingii_89.6.12.54;Acanthizidae;PASSERIFORMES;6223;89.6.12.54;NHMUK;U;10,8;5,7;2;2,6;21,6;50;8,1;41,9;16,2;49;2;CS;1;0;0
Acanthiza ewingii_89.6.12.54;Acanthizidae;PASSERIFORMES;6223;89.6.12.54;NHMUK;M;11,5;NA;1,9;2,4;20;52;NA;NA;NA;47;1;GT;0;0;0
Acanthiza inornata_1966.21.97;Acanthizidae;PASSERIFORMES;6230;1966.21.97;NHMUK;M;11,8;6,2;2,9;3,1;17,5;47,5;5,9;41,6;12,4;38;2;CS;1;0;0
Acanthiza inornata_1966.21.97;Acanthizidae;PASSERIFORMES;6230;1966.21.97;NHMUK;M;11,1;NA;2,3;2,8;17,5;48;NA;NA;NA;36;1;GT;0;0;0
Acanthiza katherina_600488;Acanthizidae;PASSERIFORMES;6225;600488;AMNH;U;10,4;5,7;2,4;2,7;17,1;50;8,8;41,2;17,6;45,5;2;CS;1;0;0
Acanthiza katherina_600488;Acanthizidae;PASSERIFORMES;6225;600488;AMNH;F;11,1;NA;2,2;2,5;17,8;50;NA;NA;NA;40,5;1;VR;0;0;0
Acanthiza katherina_822916;Acanthizidae;PASSERIFORMES;6225;822916;AMNH;M;12;5,8;2,3;2,7;18,6;53,5;9,4;44,1;17,6;45;2;CS;1;0;0
Acanthiza katherina_822916;Acanthizidae;PASSERIFORMES;6225;822916;AMNH;M;12,6;NA;2,3;2,4;18,4;54;NA;NA;NA;44,5;1;VR;0;0;0
Acanthiza murina_1967.3.6;Acanthizidae;PASSERIFORMES;6219;1967.3.6;NHMUK;M;10,6;6;2,7;3,4;18,7;56,5;13,7;42,8;24,2;34,5;2;CS;1;0;0
Acanthiza murina_1967.3.6;Acanthizidae;PASSERIFORMES;6219;1967.3.6;NHMUK;M;11,1;NA;2,3;2,9;18,5;58;NA;NA;NA;34;1;GT;0;0;0
Acanthiza reguloides_1964.17.310;Acanthizidae;PASSERIFORMES;6229;1964.17.310;NHMUK;F;10,6;5,8;2;2,8;15,6;51;6,9;44,1;13,5;39;2;CS;1;0;0
Acanthiza reguloides_1964.17.310;Acanthizidae;PASSERIFORMES;6229;1964.17.310;NHMUK;F;11;NA;2;2,5;16,6;51;NA;NA;NA;36;1;GT;0;0;0
Acanthorhynchus superciliosus_1966.21.290;Meliphagidae;PASSERIFORMES;6069;1966.21.290;NHMUK;M;26,3;NA;2,2;3;NA;61;NA;NA;NA;54,5;1;NF;0;0;0
Acanthorhynchus superciliosus_1966.21.290;Meliphagidae;PASSERIFORMES;6069;1966.21.290;NHMUK;M;25,5;17,6;2,1;2,9;21;59;8,9;50,1;15,1;59;2;NS;1;0;0
Acanthorhynchus superciliosus_41.1447;Meliphagidae;PASSERIFORMES;6069;41,1447;NHMUK;F;21,4;NA;1,8;2,6;NA;58;NA;NA;NA;49,5;1;NF;0;0;0
Acanthorhynchus superciliosus_41.1447;Meliphagidae;PASSERIFORMES;6069;41,1447;NHMUK;F;20,2;12,5;2;2,2;NA;58;9,3;48,7;16;48;2;NS;1;0;0
Acanthorhynchus superciliosus_81.5.1.4319;Meliphagidae;PASSERIFORMES;6069;81.5.1.4319;NHMUK;M;24,1;NA;2,6;2,6;20,1;67;NA;NA;NA;61;2;GT;0;0;1
Acanthorhynchus superciliosus_81.5.1.4319;Meliphagidae;PASSERIFORMES;6069;81.5.1.4319;NHMUK;M;23,8;NA;2,6;2,6;NA;64;NA;NA;NA;60,5;1;NF;0;0;1
Acanthorhynchus tenuirostris_1925.11.1.931;Meliphagidae;PASSERIFORMES;6070;1925.11.1.931;NHMUK;M;28,3;NA;2,3;2,7;19,4;69;NA;NA;NA;62;2;GT;0;0;1
Acanthorhynchus tenuirostris_1925.11.1.931;Meliphagidae;PASSERIFORMES;6070;1925.11.1.931;NHMUK;M;29,4;NA;2,4;2,8;NA;71;NA;NA;NA;60,5;1;NF;0;0;1
Acanthorhynchus tenuirostris_1939.12.9.2003;Meliphagidae;PASSERIFORMES;6070;1939.12.9.2003;NHMUK;M;29;NA;2,3;2,5;NA;72;NA;NA;NA;60,5;1;NF;0;0;0
Acanthorhynchus tenuirostris_1939.12.9.2003;Meliphagidae;PASSERIFORMES;6070;1939.12.9.2003;NHMUK;M;27,7;18,7;2,3;2,5;18,7;72;15,3;56,7;21,3;64;2;NS;1;0;0
Acanthorhynchus tenuirostris_86.12.1.1760;Meliphagidae;PASSERIFORMES;6070;86.12.1.1760;NHMUK;M;27,4;NA;2,4;3,3;NA;72;NA;NA;NA;63,5;1;NF;0;0;0
Acanthorhynchus tenuirostris_86.12.1.1760;Meliphagidae;PASSERIFORMES;6070;86.12.1.1760;NHMUK;M;26,8;19;2,4;2,9;19,5;70;14,3;55,7;20,4;65;2;NS;1;0;0
Acanthornis magna_601237;Acanthizidae;PASSERIFORMES;6213;601237;AMNH;F;15,4;NA;2,2;2,8;21,3;54,5;NA;NA;NA;49,5;1;VR;0;0;1
Acanthornis magna_601237;Acanthizidae;PASSERIFORMES;6213;601237;AMNH;F;15,3;NA;2,3;2,9;21,1;54;NA;NA;NA;49;2;VR;0;0;1
Acanthornis magna_68.1.27.20;Acanthizidae;PASSERIFORMES;6213;68.1.27.20;NHMUK;U;14,3;8;2,7;3,4;20;56;11,9;44,1;21,3;48;2;CS;1;0;0
Acanthornis magna_68.1.27.20;Acanthizidae;PASSERIFORMES;6213;68.1.27.20;NHMUK;U;14,3;NA;2,5;3,2;20,9;56;NA;NA;NA;47;1;GT;0;0;0
Acridotheres cinereus_73.5.12.1871;Sturnidae;PASSERIFORMES;8710;73.5.12.1871;NHMUK;F;27,2;16,5;6,5;6,9;36,2;124;29,8;94,2;24,1;74;2;DS;1;0;0
Acridotheres cinereus_73.5.12.1871;Sturnidae;PASSERIFORMES;8710;73.5.12.1871;NHMUK;F;30,7;NA;6,2;7,1;34,1;127;NA;NA;NA;94;1;GT;0;0;0
Acrobatornis fonsecai_160000;Furnariidae;PASSERIFORMES;5203;160000;LSUMZ;U;12,4;7,5;3,3;3,4;19,3;65;17,2;47,8;26,4;64;2;DS;1;1;0
Acrobatornis fonsecai_160000;Furnariidae;PASSERIFORMES;5203;160000;LSUMZ;U;NA;7,1;2,8;3,8;17,2;63,5;16,6;46,9;26,1;NA;1;SC;1;1;0
Acrocephalus australis_1969.4.330;Acrocephalidae;PASSERIFORMES;7576;1969.4.330;NHMUK;M;21,6;NA;4,4;4,5;NA;71;NA;NA;NA;63;1;BM;0;0;1
Acrocephalus australis_1969.4.330;Acrocephalidae;PASSERIFORMES;7576;1969.4.330;NHMUK;M;20,9;NA;3,8;4,4;24,8;72;NA;NA;NA;66;2;GT;0;0;1
Acrocephalus australis_86.6.24.238;Acrocephalidae;PASSERIFORMES;7576;86.6.24.238;NHMUK;F;19,9;NA;3,9;4;NA;73;NA;NA;NA;63;1;BM;0;0;0
Acrocephalus australis_86.6.24.238;Acrocephalidae;PASSERIFORMES;7576;86.6.24.238;NHMUK;F;19,3;10,8;3,8;3,9;23,6;73;15,8;57,2;21,6;66;2;CS;1;0;0
Acrocephalus brevipennis_1936.2.21.147;Acrocephalidae;PASSERIFORMES;7569;1936.2.21.147;NHMUK;M;19,2;11,1;4;3,5;26,5;65,5;9,1;56,4;13,9;62;2;CS;1;0;0
Acrocephalus brevipennis_1936.2.21.147;Acrocephalidae;PASSERIFORMES;7569;1936.2.21.147;NHMUK;M;19,9;NA;3,5;3,5;27,3;61;NA;NA;NA;62;1;GT;0;0;0
Acrocephalus caffer_1928.10.27.85;Acrocephalidae;PASSERIFORMES;7592;1928.10.27.85;NHMUK;M;33,6;20;5,2;5,2;31,9;94;17,4;76,6;18,5;80;2;CS;1;0;0
Acrocephalus caffer_1928.10.27.85;Acrocephalidae;PASSERIFORMES;7592;1928.10.27.85;NHMUK;M;34,5;NA;5,1;5;33,2;96;NA;NA;NA;81;1;GT;0;0;0
Acrocephalus familiaris_1939.12.9.583;Acrocephalidae;PASSERIFORMES;7586;1939.12.9.583;NHMUK;M;17,2;9,8;3,5;3,5;22,2;62;8,1;53,9;13,1;58;2;CS;1;0;0
Acrocephalus familiaris_1939.12.9.583;Acrocephalidae;PASSERIFORMES;7586;1939.12.9.583;NHMUK;M;21;NA;3,4;3,5;22,3;61;NA;NA;NA;59;1;GT;0;0;0
Acrocephalus kerearako_1975.25.6;Acrocephalidae;PASSERIFORMES;7589;1975.25.6;NHMUK;M;21,3;11,7;4,4;4,2;27,2;73;13,2;59,8;18,1;77;2;CS;1;0;0
Acrocephalus kerearako_1975.25.6;Acrocephalidae;PASSERIFORMES;7589;1975.25.6;NHMUK;M;21,5;NA;4;3,9;30;73;NA;NA;NA;76;1;GT;0;0;0
Acrocephalus orinus_98.9.1.1233;Acrocephalidae;PASSERIFORMES;7559;98.9.1.1233;NHMUK;F;18,3;10,2;3,8;3,1;23,1;57,5;9,1;48,4;15,8;60;2;CS;1;0;0
Acrocephalus orinus_98.9.1.1233;Acrocephalidae;PASSERIFORMES;7559;98.9.1.1233;NHMUK;F;19,1;NA;3,9;3,1;25,5;59;NA;NA;NA;55;1;GT;0;0;0
Acrocephalus paludicola_1965.M.13539;Acrocephalidae;PASSERIFORMES;7556;1965.M.13539;NHMUK;M;12,5;7,3;2,5;2,9;19,1;60;18;42;30;44;2;CS;1;0;0
Acrocephalus paludicola_1965.M.13539;Acrocephalidae;PASSERIFORMES;7556;1965.M.13539;NHMUK;M;11,9;NA;2,5;3;19,5;60;NA;NA;NA;45;1;GT;0;0;0
Acrocephalus rehsei_88.2.20.750;Acrocephalidae;PASSERIFORMES;7585;88.2.20.750;NHMUK;F;21,2;12;4,2;3,8;27,9;71,5;9,9;61,6;13,8;66;2;CS;1;0;0
Acrocephalus rehsei_88.2.20.750;Acrocephalidae;PASSERIFORMES;7585;88.2.20.750;NHMUK;F;24,2;NA;3,7;3,9;27;69;NA;NA;NA;66;1;GT;0;0;0
Acrocephalus rodericanus_76.3.14.2;Acrocephalidae;PASSERIFORMES;7572;76.3.14.2;NHMUK;M;17,9;10,6;3,2;3;23;62;10,4;51,6;16,8;73;2;CS;1;0;0
Acrocephalus rodericanus_76.3.14.2;Acrocephalidae;PASSERIFORMES;7572;76.3.14.2;NHMUK;M;18,1;NA;3;2,9;22,5;63;NA;NA;NA;73;1;GT;0;0;0
Acrocephalus rufescens_1904.6.22.195;Acrocephalidae;PASSERIFORMES;7568;1904.6.22.195;NHMUK;M;20,5;11,5;4,5;4;27,6;73;12,1;60,9;16,6;73;2;CS;1;0;0
Acrocephalus rufescens_1904.6.22.195;Acrocephalidae;PASSERIFORMES;7568;1904.6.22.195;NHMUK;M;19,7;NA;4,2;3,8;28,2;75;NA;NA;NA;74;1;GT;0;0;0
Acrocephalus sorghophilus_1912.12.15.246;Acrocephalidae;PASSERIFORMES;7555;1912.12.15.246;NHMUK;M;13,1;7,5;3,2;2,8;18,9;58;13,7;44,3;23,6;49;2;CS;1;0;0
Acrocephalus sorghophilus_1912.12.15.246;Acrocephalidae;PASSERIFORMES;7555;1912.12.15.246;NHMUK;M;12,8;NA;3;2,6;19,7;60;NA;NA;NA;48;1;GT;0;0;0
Acrocephalus taiti_1913.3.4.3;Acrocephalidae;PASSERIFORMES;7588;1913.3.4.3;NHMUK;M;20,2;12,3;4;4,1;30,9;84;14,1;69,9;16,8;78;2;CS;1;0;0
Acrocephalus taiti_1913.3.4.3;Acrocephalidae;PASSERIFORMES;7588;1913.3.4.3;NHMUK;M;19,8;NA;4;NA;31,1;83;NA;NA;NA;74;1;GT;0;0;0
Acrocephalus tangorum_1915.3.11.8;Acrocephalidae;PASSERIFORMES;7565;1915.3.11.8;NHMUK;F;14,6;8;3,8;2,8;21,6;52;11,4;40,6;21,9;51;2;DS;1;0;0
Acrocephalus tangorum_1915.3.11.8;Acrocephalidae;PASSERIFORMES;7565;1915.3.11.8;NHMUK;F;14;NA;3,5;2,9;20,8;53;NA;NA;NA;51;1;GT;0;0;0
Actinodura sodangorum_1997.7.6;Leiotrichidae;PASSERIFORMES;8524;1997.7.6;NHMUK;F;18,2;10,3;4,7;5,6;31;85,5;13;72,5;15,2;123,5;2;CS;1;0;0
Actinodura sodangorum_1997.7.6;Leiotrichidae;PASSERIFORMES;8524;1997.7.6;NHMUK;F;19,2;NA;5,1;5,6;32;89;NA;NA;NA;127;1;GT;0;0;0
Aegithalos concinnus_1946.49.1265;Aegithalidae;PASSERIFORMES;8043;1946.49.1265;NHMUK;F;7,2;4,1;2,4;3;14,6;48;8,5;39,5;17,7;51;2;CS;1;0;0
Aegithalos concinnus_1946.49.1265;Aegithalidae;PASSERIFORMES;8043;1946.49.1265;NHMUK;M;6,8;NA;2,6;3;16,2;50;NA;NA;NA;52;1;GT;0;0;0
Aegithalos leucogenys_1965.M.15014;Aegithalidae;PASSERIFORMES;8045;1965.M.15014;NHMUK;M;7,9;4,5;2,3;3,3;16,4;53;7,4;45,6;14;48;2;CV;1;0;0
Aegithalos leucogenys_1965.M.15014;Aegithalidae;PASSERIFORMES;8045;1965.M.15014;NHMUK;M;8,7;NA;2,7;3,3;16,5;53;NA;NA;NA;53;1;GT;0;0;0
Aegithina lafresnayei_1936.4.12;Aegithinidae;PASSERIFORMES;6631;1936.4.12;NHMUK;M;22,7;14,7;5,2;6,4;20,5;69;5,9;63,1;8,6;56;2;CS;1;0;0
Aegithina lafresnayei_1936.4.12;Aegithinidae;PASSERIFORMES;6631;1936.4.12;NHMUK;M;23;NA;5,5;6;19,2;68;NA;NA;NA;56;1;GT;0;0;0
Aegithina viridissima_1927.4.18.636;Aegithinidae;PASSERIFORMES;6630;1927.4.18.636;NHMUK;F;17,1;NA;4,3;4,1;17,9;63;NA;NA;NA;54;1;GT;0;0;0
Aegithina viridissima_1927.4.18.636;Aegithinidae;PASSERIFORMES;6630;1927.4.18.636;NHMUK;F;14,5;10,2;4,2;4,3;17,8;62;7,8;54,2;12,6;43;2;JC;1;0;0
Aethopyga christinae_1914.8.15.35;Nectariniidae;PASSERIFORMES;9605;1914.8.15.35;NHMUK;M;17,4;12,4;3,6;3,4;14;51;10,2;40,8;20;48;2;CS;1;0;0
Aethopyga christinae_1914.8.15.35;Nectariniidae;PASSERIFORMES;9605;1914.8.15.35;NHMUK;M;18,1;NA;2,8;3,1;13,6;54;NA;NA;NA;51;1;GT;0;0;0
Aethopyga gouldiae_1948.27.537;Nectariniidae;PASSERIFORMES;9592;1948.27.537;NHMUK;M;18,8;12,3;3;3,2;13,4;54;11,1;42,9;20,6;79,5;2;CS;1;0;0
Aethopyga gouldiae_1948.27.537;Nectariniidae;PASSERIFORMES;9592;1948.27.537;NHMUK;M;19,2;NA;2,9;2,8;12,6;58;NA;NA;NA;79;1;GT;0;0;0
Aethopyga linaraborae_36926;Nectariniidae;PASSERIFORMES;9606;36926;FLMNH;M;22,7;16,4;3,2;NA;17,2;53;12;41;22,6;32;2;JPM;0;0;0
Aethopyga linaraborae_36926;Nectariniidae;PASSERIFORMES;9606;36926;FLMNH;M;22,4;17,1;2,9;3,2;15,3;52,6;8,5;44,1;16,2;41,8;1;PH;1;0;0
Aethopyga linaraborae_36953;Nectariniidae;PASSERIFORMES;9606;36953;FLMNH;F;21,7;15,5;3,1;3;15,5;51,5;14;37,5;27,2;33;2;JPM;0;0;0
Aethopyga linaraborae_36953;Nectariniidae;PASSERIFORMES;9606;36953;FLMNH;F;22,5;15,6;3,1;2,8;15,3;52,2;7,2;45;13,8;36,5;1;PH;1;0;0
Aethopyga nipalensis_81.5.1.1357;Nectariniidae;PASSERIFORMES;9591;81.5.1.1357;NHMUK;M;23,7;17,7;3,5;3,4;13,3;49;9,4;39,6;19,2;62;2;CS;1;0;0
Aethopyga nipalensis_81.5.1.1357;Nectariniidae;PASSERIFORMES;9591;81.5.1.1357;NHMUK;M;23,9;NA;3,2;2,9;13,6;51;NA;NA;NA;63;1;GT;0;0;0
Aethopyga primigenia_2000.8.1;Nectariniidae;PASSERIFORMES;9607;2000.8.1;NHMUK;M;21,7;16,2;3,7;3,2;15,3;52;7,4;44,6;14,2;37;2;CS;1;0;0
Aethopyga primigenia_2000.8.1;Nectariniidae;PASSERIFORMES;9607;2000.8.1;NHMUK;M;22;NA;3,6;2,8;16,3;53;NA;NA;NA;39;1;GT;0;0;0
Agelaius assimilis_1924.11.1.31;Icteridae;PASSERIFORMES;10523;1924.11.1.31;NHMUK;M;24,5;16,6;5,6;9,2;27,5;98;23,1;74,9;23,6;97;2;CS;1;0;0
Agelaius assimilis_1924.11.1.31;Icteridae;PASSERIFORMES;10523;1924.11.1.31;NHMUK;M;24;NA;6,1;NA;28,1;100;NA;NA;NA;81;1;GT;0;0;0
Agelaius phoeniceus_88.10.10.7708;Icteridae;PASSERIFORMES;10522;88.10.10.7708;NHMUK;F;19;12,7;4,7;7,9;26,2;99;25,6;73,4;25,9;70;2;AMGZ;1;1;0
Agelaius phoeniceus_88.10.10.7708;Icteridae;PASSERIFORMES;10522;88.10.10.7708;NHMUK;F;20,2;13,2;5,9;7,7;26,7;97;24,4;72,6;25,2;71;1;CS;1;1;0
Agelaius phoeniceus_88.10.10.7710;Icteridae;PASSERIFORMES;10522;88.10.10.7710;NHMUK;F;20,9;13,8;5,2;8,1;25,8;99;25,4;73,6;25,7;76;2;AMGZ;1;1;0
Agelaius phoeniceus_88.10.10.7710;Icteridae;PASSERIFORMES;10522;88.10.10.7710;NHMUK;F;20,8;14,1;5,2;8,2;26;97;25,3;71,7;26,1;72;1;CS;1;1;0
Agelaius xanthomus_1915.5.1.971;Icteridae;PASSERIFORMES;10520;1915.5.1.971;NHMUK;M;20,1;14,5;4,6;7,7;20,5;108;21,1;86,9;19,5;90;2;CV;1;0;0
Agelaius xanthomus_1915.5.1.971;Icteridae;PASSERIFORMES;10520;1915.5.1.971;NHMUK;M;21,6;NA;5,6;6,9;26,8;107;NA;NA;NA;86;1;GT;0;0;0
Agelasticus cyanopus_89.1.10.290;Icteridae;PASSERIFORMES;10555;89.1.10.290;NHMUK;M;25;17,3;5,2;8,6;25,7;93;11,8;81,2;12,7;86;2;CS;1;0;0
Agelasticus cyanopus_89.1.10.290;Icteridae;PASSERIFORMES;10555;89.1.10.290;NHMUK;M;25;NA;5,7;7,8;25,6;94;NA;NA;NA;85;1;GT;0;0;0
Agriornis lividus_1969.26.185;Tyrannidae;PASSERIFORMES;5854;1969.26.185;NHMUK;M;36,1;NA;NA;9,4;38,8;127,8;24,9;102,9;19,5;107,9;3;APH;0;0;0
Agriornis lividus_1969.26.185;Tyrannidae;PASSERIFORMES;5854;1969.26.185;NHMUK;M;34,3;NA;7;7,9;36;126;NA;NA;NA;110;1;GT;0;0;0
Agriornis lividus_1969.26.185;Tyrannidae;PASSERIFORMES;5854;1969.26.185;NHMUK;M;34;19,5;7;7,6;36;127;24,5;102,5;19,3;104;2;HM;1;0;0
Agriornis micropterus_1905.1.30.497;Tyrannidae;PASSERIFORMES;5855;1905.1.30.497;NHMUK;M;28,8;NA;6,9;7,4;33;121;NA;NA;NA;102;1;GT;0;0;0
Agriornis micropterus_1905.1.30.497;Tyrannidae;PASSERIFORMES;5855;1905.1.30.497;NHMUK;M;30;17,2;6,4;7,1;33;121;32,9;88,1;27,2;101;2;HM;1;0;0
Agriornis montanus_1888.1.1.16;Tyrannidae;PASSERIFORMES;5852;1888.1.1.16;NHMUK;M;30;NA;NA;7,8;32,8;132,8;37,8;95;28,5;105,2;1;APH;0;0;0
Agriornis montanus_1888.1.1.16;Tyrannidae;PASSERIFORMES;5852;1888.1.1.16;NHMUK;M;31,2;17,4;5,8;5,7;31,6;132,5;38,3;94,2;28,9;94;2;HM;1;0;0
Agriornis montanus_1899.1.20.38;Tyrannidae;PASSERIFORMES;5852;1899.1.20.38;NHMUK;M;30,8;NA;NA;7,4;32,4;130,2;32,7;97,5;25,1;104,3;2;APH;0;0;0
Agriornis montanus_1899.1.20.38;Tyrannidae;PASSERIFORMES;5852;1899.1.20.38;NHMUK;M;31,3;17,1;5,4;5,3;31,4;129,5;34,9;94,6;26,9;98;1;HM;1;0;0
Agropsar sturninus_98.11.10.111;Sturnidae;PASSERIFORMES;8687;98.11.10.111;NHMUK;M;18,1;NA;5;5,3;25,6;107;NA;NA;NA;52;1;GT;0;0;0
Agropsar sturninus_98.11.10.111;Sturnidae;PASSERIFORMES;8687;98.11.10.111;NHMUK;M;18,4;11,5;4,6;5,3;24,1;107;40,5;66,5;37,9;53;2;NS;1;0;0
Agropsar sturninus_98.11.10.112;Sturnidae;PASSERIFORMES;8687;98.11.10.112;NHMUK;F;18;NA;5,4;5,3;27,2;103;NA;NA;NA;49;1;GT;0;0;0
Agropsar sturninus_98.11.10.112;Sturnidae;PASSERIFORMES;8687;98.11.10.112;NHMUK;F;18;11,5;4,9;5;25,2;103;37,8;65,2;36,7;51;2;NS;1;0;0
Aimophila notosticta_1885.2.10.492;Passerellidae;PASSERIFORMES;10410;1885.2.10.492;NHMUK;M;14,1;NA;4,7;6,3;24,4;67;NA;NA;NA;76;2;GT;0;0;0
Aimophila notosticta_1885.2.10.492;Passerellidae;PASSERIFORMES;10410;1885.2.10.492;NHMUK;U;14,9;9,1;4,4;5,9;23,8;65,5;5,6;59,9;8,5;72;1;HM;1;0;0
Aimophila ruficeps_1899.3.1.717;Passerellidae;PASSERIFORMES;10409;1899.3.1.717;NHMUK;M;12,2;NA;4,1;5,1;19,7;60;NA;NA;NA;62;2;GT;0;0;0
Aimophila ruficeps_1899.3.1.717;Passerellidae;PASSERIFORMES;10409;1899.3.1.717;NHMUK;M;15,5;8,4;4;5;19,3;58;7,3;50,7;12,6;59;1;HM;1;0;0
Akletos melanoceps_89.7.10.68;Thamnophilidae;PASSERIFORMES;4803;89.7.10.68;NHMUK;F;23,8;13;5,1;6,4;31,2;85;7,3;77,7;8,6;62;2;CV;1;0;0
Akletos melanoceps_89.7.10.68;Thamnophilidae;PASSERIFORMES;4803;89.7.10.68;NHMUK;F;24,1;NA;5;6,4;36,9;91;NA;NA;NA;65;1;GT;0;0;0
Alaudala rufescens_1965.M.7246;Alaudidae;PASSERIFORMES;7317;1965.M.7246;NHMUK;M;11,3;7,7;3,9;4,7;18,5;87;27,8;59,2;32;53;1;CV;1;0;0
Alaudala rufescens_1965.M.7246;Alaudidae;PASSERIFORMES;7317;1965.M.7246;NHMUK;M;11,8;NA;3,7;4,8;20,2;87;NA;NA;NA;53;2;GT;0;0;0
Alcippe grotei_1928.6.26.1386;Leiotrichidae;PASSERIFORMES;8380;1928.6.26.1386;NHMUK;M;14;7,6;3,2;4,2;20,9;66,5;6,4;60,1;9,6;67;2;CS;1;0;0
Alcippe grotei_1928.6.26.1386;Leiotrichidae;PASSERIFORMES;8380;1928.6.26.1386;NHMUK;M;14,6;NA;5,3;4,5;21,1;68;NA;NA;NA;64;1;GT;0;0;0
Alectrurus risora_1888.1.13.126;Tyrannidae;PASSERIFORMES;5809;1888.1.13.126;NHMUK;M;18,7;NA;6,9;4,8;23,3;77;NA;NA;NA;184;2;GT;0;0;0
Alectrurus risora_1888.1.13.126;Tyrannidae;PASSERIFORMES;5809;1888.1.13.126;NHMUK;M;18,2;10,4;6,5;4,7;23,9;74;16,5;57,5;22,3;195;1;HM;1;0;0
Allenia fusca_1904.8.17.153;Mimidae;PASSERIFORMES;8818;1904.8.17.153;NHMUK;F;21,8;NA;5;5,7;28,2;123;NA;NA;NA;95;1;GT;0;0;0
Allenia fusca_1904.8.17.153;Mimidae;PASSERIFORMES;8818;1904.8.17.153;NHMUK;F;21,2;11,3;4,5;5,5;27;121;29;92;24;96;2;NS;1;0;0
